temperature,city,pression,date
280.32,Paris,1023,2024-01-21_18-04
284.81,London,1008,2024-01-21_18-04
272.88,Washington,1007,2024-01-21_18-04
280.32,Paris,1023,2024-01-21_18-03
284.81,London,1008,2024-01-21_18-03
272.88,Washington,1007,2024-01-21_18-03
280.32,Paris,1023,2024-01-21_18-02
284.81,London,1008,2024-01-21_18-02
272.88,Washington,1007,2024-01-21_18-02
280.32,Paris,1023,2024-01-21_18-00
284.81,London,1008,2024-01-21_18-00
272.88,Washington,1007,2024-01-21_18-00
280.17,Paris,1023,2024-01-21_17-57
284.81,London,1008,2024-01-21_17-57
272.88,Washington,1007,2024-01-21_17-57
276.41,Paris,1024,2024-01-19_14-16
278.07,London,1021,2024-01-19_14-16
267.17,Washington,1029,2024-01-19_14-16
276.33,Paris,1024,2024-01-19_13-56
277.77,London,1021,2024-01-19_13-56
267.08,Washington,1029,2024-01-19_13-56
276.2,Paris,1024,2024-01-19_13-46
277.52,London,1022,2024-01-19_13-46
266.98,Washington,1029,2024-01-19_13-46
281.33,Paris,1005,2023-11-29_13-37
278.26,London,1003,2023-11-29_13-37
271.09,Washington,1024,2023-11-29_13-37
281.33,Paris,1005,2023-11-29_13-29
278.2,London,1003,2023-11-29_13-29
271.09,Washington,1024,2023-11-29_13-29
281.33,Paris,1005,2023-11-29_13-28
278.2,London,1003,2023-11-29_13-28
271.09,Washington,1024,2023-11-29_13-28
280.84,Paris,1005,2023-11-29_12-59
278.02,London,1003,2023-11-29_12-59
271.09,Washington,1024,2023-11-29_12-59
280.84,Paris,1005,2023-11-29_12-58
278.02,London,1003,2023-11-29_12-58
271.09,Washington,1024,2023-11-29_12-58
280.84,Paris,1005,2023-11-29_12-56
278.02,London,1003,2023-11-29_12-56
271.09,Washington,1024,2023-11-29_12-56
280.79,Paris,1005,2023-11-29_12-52
278.02,London,1003,2023-11-29_12-52
271.09,Washington,1024,2023-11-29_12-52
280.79,Paris,1005,2023-11-29_12-49
277.96,London,1004,2023-11-29_12-49
271.09,Washington,1024,2023-11-29_12-49
280.79,Paris,1005,2023-11-29_12-47
277.96,London,1004,2023-11-29_12-47
271.09,Washington,1024,2023-11-29_12-47
